epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1254.9,0.65732,1.30459,0.84206,0.46799,0.74041,0.63558,0.56168,0.56015,1.68095,0.84549,0.00874,0.00874,0.00874
44,1283.46,0.62997,1.41402,0.85427,0.71259,0.63175,0.75189,0.68911,0.46311,1.28877,0.82759,0.00871,0.00871,0.00871
45,1312.13,0.51155,1.14948,0.83098,0.71259,0.63175,0.75189,0.68911,0.46311,1.28877,0.82759,0.00868,0.00868,0.00868
46,1340.97,0.46262,1.19442,0.84444,0.52946,0.62331,0.60763,0.55344,0.44735,2.33054,0.81933,0.00865,0.00865,0.00865
47,1369.58,0.4742,1.30794,0.81542,0.74256,0.5069,0.59608,0.54028,0.4583,1.86683,0.81848,0.00862,0.00862,0.00862
48,1398.06,0.50607,1.25697,0.83012,0.53405,0.76544,0.71565,0.63012,0.51195,1.36935,0.82933,0.00859,0.00859,0.00859
49,1426.3,0.56321,1.1298,0.8376,0.53405,0.76544,0.71565,0.63012,0.51195,1.36935,0.82933,0.00856,0.00856,0.00856
50,1454.59,0.53531,1.18975,0.83958,0.72285,0.57729,0.65838,0.60526,0.45859,1.54396,0.81832,0.00853,0.00853,0.00853
51,1482.72,0.51305,1.13424,0.83737,0.47727,0.60915,0.66861,0.57299,0.57905,1.83564,0.8361,0.0085,0.0085,0.0085
52,1510.96,0.59522,1.44053,0.85239,0.73248,0.63339,0.71426,0.6586,0.44208,1.4092,0.81647,0.00847,0.00847,0.00847
53,1539.33,0.48055,1.27521,0.83028,0.73248,0.63339,0.71426,0.6586,0.44208,1.4092,0.81647,0.00844,0.00844,0.00844
54,1567.76,0.47421,1.06153,0.82547,0.60267,0.73916,0.74818,0.66558,0.53613,1.3017,0.83903,0.00841,0.00841,0.00841
55,1596.12,0.52429,1.06534,0.82021,0.70328,0.68723,0.74867,0.65596,0.54155,1.36444,0.83993,0.00838,0.00838,0.00838
56,1624.88,0.56048,1.11973,0.82052,0.71305,0.59744,0.69358,0.63113,0.4674,1.29147,0.82934,0.00835,0.00835,0.00835
57,1653.36,0.43588,1.04244,0.83885,0.71305,0.59744,0.69358,0.63113,0.4674,1.29147,0.82934,0.00832,0.00832,0.00832
58,1681.97,0.49929,1.25716,0.85005,0.66999,0.64735,0.694,0.6212,0.48335,2.35733,0.82324,0.00829,0.00829,0.00829
59,1710.51,0.48909,0.91452,0.82632,0.69916,0.64077,0.72245,0.64178,0.51617,1.28553,0.83102,0.00826,0.00826,0.00826
60,1739.15,0.51515,0.92391,0.83724,0.59766,0.73877,0.72935,0.61512,0.60453,1.27976,0.84798,0.00823,0.00823,0.00823
61,1767.8,0.60951,0.99581,0.84205,0.59766,0.73877,0.72935,0.61512,0.60453,1.27976,0.84798,0.0082,0.0082,0.0082
62,1796.15,0.53851,0.79594,0.83983,0.7056,0.72599,0.7825,0.69198,0.51607,1.26372,0.84061,0.00817,0.00817,0.00817
63,1824.65,0.57133,0.79494,0.84218,0.69137,0.70616,0.77734,0.68515,0.54716,1.47194,0.84685,0.00814,0.00814,0.00814
64,1852.96,0.59836,0.80781,0.84642,0.72231,0.74358,0.83384,0.73339,0.58034,1.1775,0.85934,0.00811,0.00811,0.00811
65,1881.45,0.57695,0.73516,0.83396,0.72231,0.74358,0.83384,0.73339,0.58034,1.1775,0.85934,0.00808,0.00808,0.00808
66,1910.14,0.59865,0.82039,0.84954,0.64327,0.78488,0.83886,0.7618,0.46433,1.25479,0.83816,0.00805,0.00805,0.00805
67,1939.08,0.53044,0.74873,0.86013,0.7174,0.78633,0.8517,0.7667,0.50816,0.88629,0.83914,0.00802,0.00802,0.00802
68,1967.44,0.48333,0.79701,0.85437,0.70399,0.82932,0.80772,0.72905,0.48684,1.14879,0.83991,0.00799,0.00799,0.00799
69,1995.89,0.52019,0.72102,0.83466,0.70399,0.82932,0.80772,0.72905,0.48684,1.14879,0.83991,0.00796,0.00796,0.00796
70,2024.08,0.53601,0.72358,0.8598,0.64264,0.70426,0.74794,0.65202,0.60541,1.33819,0.86048,0.00793,0.00793,0.00793
